id,city,site_name,site,state,query_name,to_date,to_time,from_date,from_time,pm25,pm10,SO2,CO,Ozone
2458,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190714,15-Jul-2019,00:00,14-Jul-2019,00:00,48.21,360.48,16.68,0.76,29.04
2459,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190716,17-Jul-2019,00:00,16-Jul-2019,00:00,30.85,152.2,16.21,1.14,32.39
2460,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190718,19-Jul-2019,00:00,18-Jul-2019,00:00,32.27,208.43,14.74,1.42,34.77
2461,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190720,21-Jul-2019,00:00,20-Jul-2019,00:00,50.28,252.07,17.81,1.42,26.35
2462,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190722,23-Jul-2019,00:00,22-Jul-2019,00:00,60.15,205.4,16.31,1.53,44.23
2463,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190724,25-Jul-2019,00:00,24-Jul-2019,00:00,68.43,286.02,14.23,1.17,50.75
2464,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190726,27-Jul-2019,00:00,26-Jul-2019,00:00,31.68,97.06,16.51,1.27,23.51
2465,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190728,29-Jul-2019,00:00,28-Jul-2019,00:00,22.07,61.97,15.06,0.99,22.58
2466,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190730,31-Jul-2019,00:00,30-Jul-2019,00:00,30.97,149.74,16.75,1.18,27.63
2467,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190801,02-Aug-2019,00:00,01-Aug-2019,00:00,40.66,197.49,15.39,1.01,34.21
2468,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190803,04-Aug-2019,00:00,03-Aug-2019,00:00,47.21,106.11,16.07,1.44,15.97
2469,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190805,06-Aug-2019,00:00,05-Aug-2019,00:00,64.23,135.69,15.59,1.54,22.41
2470,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190807,08-Aug-2019,00:00,07-Aug-2019,00:00,37.78,112.4,16.89,1.54,35.87
2471,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190809,10-Aug-2019,00:00,09-Aug-2019,00:00,12.31,84.36,14.81,0.82,27.89
2472,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190811,12-Aug-2019,00:00,11-Aug-2019,00:00,26.33,152.47,15.33,0.98,26.4
2473,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190813,14-Aug-2019,00:00,13-Aug-2019,00:00,21.92,104.55,18.34,1.12,17.81
2474,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190815,16-Aug-2019,00:00,15-Aug-2019,00:00,31.27,71.09,13.45,1.09,32.48
2475,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190817,18-Aug-2019,00:00,17-Aug-2019,00:00,8.01,15.62,13.4,0.7,11.84
2476,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190819,20-Aug-2019,00:00,19-Aug-2019,00:00,41.15,170.55,15.44,1.49,29.15
2477,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190821,22-Aug-2019,00:00,21-Aug-2019,00:00,48.29,209.79,16.8,1.21,36.3
2478,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190823,24-Aug-2019,00:00,23-Aug-2019,00:00,55.4,266.72,17.19,1.65,30.35
2479,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190825,26-Aug-2019,00:00,25-Aug-2019,00:00,32.15,114.19,15.17,1.0,29.34
2480,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190827,28-Aug-2019,00:00,27-Aug-2019,00:00,38.71,210.1,15.43,1.46,41.85
2481,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190829,30-Aug-2019,00:00,29-Aug-2019,00:00,35.57,169.48,14.47,1.04,37.35
2482,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190831,01-Sep-2019,00:00,31-Aug-2019,00:00,64.0,239.15,19.38,2.35,34.16
2483,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190902,03-Sep-2019,00:00,02-Sep-2019,00:00,48.4,181.11,8.36,1.53,52.4
2484,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190904,05-Sep-2019,00:00,04-Sep-2019,00:00,83.2,221.3,8.74,1.47,45.84
2485,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190906,07-Sep-2019,00:00,06-Sep-2019,00:00,34.05,164.64,7.58,1.23,24.88
2486,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190908,09-Sep-2019,00:00,08-Sep-2019,00:00,32.03,124.47,8.2,0.99,37.41
2487,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190910,11-Sep-2019,00:00,10-Sep-2019,00:00,70.04,253.24,10.89,1.35,44.5
2488,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190914,15-Sep-2019,00:00,14-Sep-2019,00:00,28.86,141.21,6.14,0.76,46.34
2489,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190916,17-Sep-2019,00:00,16-Sep-2019,00:00,53.44,211.6,8.18,1.16,42.25
2490,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190918,19-Sep-2019,00:00,18-Sep-2019,00:00,35.81,162.47,5.49,0.95,49.92
2491,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190920,21-Sep-2019,00:00,20-Sep-2019,00:00,40.42,223.21,7.75,1.03,17.32
2492,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190922,23-Sep-2019,00:00,22-Sep-2019,00:00,25.18,85.15,7.43,0.89,16.7
2493,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190924,25-Sep-2019,00:00,24-Sep-2019,00:00,37.9,180.53,7.54,1.01,31.3
2494,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190926,27-Sep-2019,00:00,26-Sep-2019,00:00,21.74,107.07,8.03,0.92,17.58
2495,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190928,29-Sep-2019,00:00,28-Sep-2019,00:00,20.53,106.51,7.55,0.8,15.54
2496,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20190930,01-Oct-2019,00:00,30-Sep-2019,00:00,31.99,192.23,8.56,1.11,26.54
2497,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191002,03-Oct-2019,00:00,02-Oct-2019,00:00,51.98,219.21,9.92,1.4,44.44
2498,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191004,05-Oct-2019,00:00,04-Oct-2019,00:00,45.11,140.61,7.93,1.11,37.91
2499,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191006,07-Oct-2019,00:00,06-Oct-2019,00:00,64.6,212.19,7.5,1.04,47.86
2500,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191008,09-Oct-2019,00:00,08-Oct-2019,00:00,62.89,224.32,12.69,1.35,44.47
2501,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191010,11-Oct-2019,00:00,10-Oct-2019,00:00,99.61,333.03,9.36,1.67,49.77
